format,canvas_width,canvas_height,zone,geometry
1920x276,1920,276,logo,"[50, 48, 310, 50]"
1920x276,1920,276,tagline,"[50, 120, 310, 27]"
1920x276,1920,276,footer,"[50, 185, 310, 30]"
1920x276,1920,276,title,"[450, 24, 690, 33]"
1920x276,1920,276,price,"[450, 76, 480, 86]"
1920x276,1920,276,benefit,"[450, 179, 690, 24]"
1920x276,1920,276,headline,"[450, 213, 690, 18]"
1920x276,1920,276,car,"[1290, 10, 465, 218]"
1920x276,1920,276,legal,"[50, 240, 1820, 30]"
1920x276,1920,276,badges,"[1765, 28, 105, 56]"
1920x276,1920,276,instal,"[970, 84, 220, 55]"
1920x276,1920,276,tag,"[1150, 27, 125, 40]"
1920x276,1920,276,award,"[1775, 108, 90, 100]"
1920x1080,1920,1080,logo,"[95, 80, 520, 75]"
1920x1080,1920,1080,tagline,"[95, 195, 610, 45]"
1920x1080,1920,1080,title,"[95, 300, 780, 45]"
1920x1080,1920,1080,price,"[95, 390, 770, 145]"
1920x1080,1920,1080,benefit,"[95, 630, 760, 45]"
1920x1080,1920,1080,headline,"[95, 720, 760, 100]"
1920x1080,1920,1080,car,"[950, 280, 900, 490]"
1920x1080,1920,1080,legal,"[95, 960, 1730, 65]"
1920x1080,1920,1080,footer,"[1100, 880, 700, 45]"
1920x1080,1920,1080,badges,"[1100, 790, 360, 65]"
1920x1080,1920,1080,instal,"[95, 555, 650, 40]"
1920x1080,1920,1080,detail,"[1100, 790, 450, 65]"
1920x1080,1920,1080,tag,"[970, 205, 240, 50]"
1920x1080,1920,1080,award,"[1760, 790, 65, 65]"
1920x1125,1920,1125,logo,"[95, 90, 520, 75]"
1920x1125,1920,1125,tagline,"[95, 205, 610, 45]"
1920x1125,1920,1125,title,"[95, 315, 780, 45]"
1920x1125,1920,1125,price,"[95, 405, 770, 145]"
1920x1125,1920,1125,benefit,"[95, 645, 760, 45]"
1920x1125,1920,1125,headline,"[95, 735, 760, 100]"
1920x1125,1920,1125,car,"[950, 305, 900, 490]"
1920x1125,1920,1125,legal,"[95, 1000, 1730, 70]"
1920x1125,1920,1125,footer,"[1100, 925, 700, 45]"
1920x1125,1920,1125,badges,"[1100, 825, 360, 65]"
1920x1125,1920,1125,instal,"[95, 570, 650, 40]"
1920x1125,1920,1125,detail,"[1100, 825, 450, 65]"
1920x1125,1920,1125,tag,"[970, 230, 240, 50]"
1920x1125,1920,1125,award,"[1760, 825, 65, 65]"
1080x1080,1080,1080,logo,"[345, 45, 390, 60]"
1080x1080,1080,1080,tagline,"[270, 135, 540, 35]"
1080x1080,1080,1080,title,"[110, 210, 860, 36]"
1080x1080,1080,1080,price,"[230, 270, 620, 90]"
1080x1080,1080,1080,benefit,"[140, 775, 800, 35]"
1080x1080,1080,1080,headline,"[140, 830, 800, 42]"
1080x1080,1080,1080,car,"[170, 420, 740, 340]"
1080x1080,1080,1080,legal,"[60, 955, 960, 60]"
1080x1080,1080,1080,footer,"[90, 1030, 900, 30]"
1080x1080,1080,1080,badges,"[500, 890, 330, 40]"
1080x1080,1080,1080,instal,"[300, 380, 480, 27]"
1080x1080,1080,1080,detail,"[100, 875, 530, 70]"
1080x1080,1080,1080,tag,"[110, 370, 180, 35]"
1080x1080,1080,1080,award,"[880, 885, 50, 50]"
1080x1920,1080,1920,logo,"[330, 115, 420, 70]"
1080x1920,1080,1920,tagline,"[230, 235, 620, 48]"
1080x1920,1080,1920,title,"[120, 350, 840, 52]"
1080x1920,1080,1920,price,"[150, 440, 780, 130]"
1080x1920,1080,1920,benefit,"[95, 1330, 890, 50]"
1080x1920,1080,1920,headline,"[95, 1410, 890, 70]"
1080x1920,1080,1920,car,"[95, 710, 890, 480]"
1080x1920,1080,1920,legal,"[85, 1660, 910, 115]"
1080x1920,1080,1920,footer,"[90, 1810, 900, 60]"
1080x1920,1080,1920,badges,"[480, 1240, 400, 65]"
1080x1920,1080,1920,instal,"[200, 605, 680, 35]"
1080x1920,1080,1920,detail,"[120, 1520, 650, 100]"
1080x1920,1080,1920,tag,"[100, 640, 240, 45]"
1080x1920,1080,1920,award,"[930, 1240, 65, 65]"
1109x1973,1109,1973,logo,"[340, 120, 430, 72]"
1109x1973,1109,1973,tagline,"[235, 245, 640, 48]"
1109x1973,1109,1973,title,"[125, 365, 859, 54]"
1109x1973,1109,1973,price,"[155, 455, 799, 132]"
1109x1973,1109,1973,benefit,"[100, 1380, 909, 50]"
1109x1973,1109,1973,headline,"[100, 1460, 909, 70]"
1109x1973,1109,1973,car,"[100, 735, 909, 500]"
1109x1973,1109,1973,legal,"[90, 1720, 929, 115]"
1109x1973,1109,1973,footer,"[95, 1870, 919, 60]"
1109x1973,1109,1973,badges,"[480, 1285, 400, 65]"
1109x1973,1109,1973,instal,"[205, 620, 699, 36]"
1109x1973,1109,1973,detail,"[125, 1560, 650, 110]"
1109x1973,1109,1973,tag,"[100, 665, 240, 45]"
1109x1973,1109,1973,award,"[930, 1285, 65, 65]"
360x80,360,80,logo,"[8, 8, 77, 14]"
360x80,360,80,title,"[95, 5, 150, 9]"
360x80,360,80,price,"[95, 19, 145, 25]"
360x80,360,80,car,"[258, 6, 94, 36]"
360x80,360,80,benefit,"[95, 48, 255, 7]"
360x80,360,80,headline,"[95, 48, 255, 7]"
360x80,360,80,instal,"[8, 38, 77, 17]"
360x80,360,80,badges,"[8, 38, 77, 12]"
360x80,360,80,award,"[68, 23, 16, 16]"
360x80,360,80,tag,"[8, 23, 56, 12]"
