file,offer_id,format,width,height,bytes,sha256,technical_pass,visual_status,delivery_status,template
OUTPUT/2026-09-20-r18/BANNER DESK/1920x276/byd_atto-2_1920x276.png,atto-2,1920x276,1920,276,416185,9a1fa85be2b829ce33da15ac3930bb0e47dd8059c9b21e91da3e2bc02e1ad5c5,True,ASTRA_AGENT_VISUAL_REVIEW_PASS,LOCAL_OUTPUT_NOT_EXTERNALLY_SENT,WORK/01_TEMPLATES/2026-09-20-r17/BYD_TPL_1920x276.psd
OUTPUT/2026-09-20-r18/BANNER DESK/1920x276/byd_atto-8_1920x276.png,atto-8,1920x276,1920,276,419632,3b7ef680fab5edb238ca2e3f3d33c1607da7d90605d9f93be8aea8b81be6de7f,True,ASTRA_AGENT_VISUAL_REVIEW_PASS,LOCAL_OUTPUT_NOT_EXTERNALLY_SENT,WORK/01_TEMPLATES/2026-09-20-r17/BYD_TPL_1920x276.psd
OUTPUT/2026-09-20-r18/BANNER DESK/1920x276/byd_dolphin-gs_1920x276.png,dolphin-gs,1920x276,1920,276,404592,c3790301338d86dcf40cd1df646deaf62aa8bd8902b292c107bd4a8bc0415678,True,ASTRA_AGENT_VISUAL_REVIEW_PASS,LOCAL_OUTPUT_NOT_EXTERNALLY_SENT,WORK/01_TEMPLATES/2026-09-20-r17/BYD_TPL_1920x276.psd
OUTPUT/2026-09-20-r18/BANNER DESK/1920x276/byd_dolphin-mini-5l-gs_1920x276.png,dolphin-mini-5l-gs,1920x276,1920,276,432692,e6c06f5a088611e87f4ff1310b5eb52207f9e0e975616916b2b17931e990db4a,True,ASTRA_AGENT_VISUAL_REVIEW_PASS,LOCAL_OUTPUT_NOT_EXTERNALLY_SENT,WORK/01_TEMPLATES/2026-09-20-r17/BYD_TPL_1920x276.psd
OUTPUT/2026-09-20-r18/BANNER DESK/1920x276/byd_dolphin-se_1920x276.png,dolphin-se,1920x276,1920,276,396092,69d10ec058731747c1da5b6d1bff2ffdacb0eb327cbd32fb2dc693b67910cb90,True,ASTRA_AGENT_VISUAL_REVIEW_PASS,LOCAL_OUTPUT_NOT_EXTERNALLY_SENT,WORK/01_TEMPLATES/2026-09-20-r17/BYD_TPL_1920x276.psd
OUTPUT/2026-09-20-r18/BANNER DESK/1920x276/byd_king-gs_1920x276.png,king-gs,1920x276,1920,276,418751,12689d5e6c9efdc04164f64cf96e096efe2b362e37467deee7527a77687dcf15,True,ASTRA_AGENT_VISUAL_REVIEW_PASS,LOCAL_OUTPUT_NOT_EXTERNALLY_SENT,WORK/01_TEMPLATES/2026-09-20-r17/BYD_TPL_1920x276.psd
OUTPUT/2026-09-20-r18/BANNER DESK/1920x276/byd_seal-26-27_1920x276.png,seal-26-27,1920x276,1920,276,412364,3e8c4ceed2576eeaacb05814ab595b4c712eb314820c8e31c38a0907693c94f2,True,ASTRA_AGENT_VISUAL_REVIEW_PASS,LOCAL_OUTPUT_NOT_EXTERNALLY_SENT,WORK/01_TEMPLATES/2026-09-20-r17/BYD_TPL_1920x276.psd
OUTPUT/2026-09-20-r18/BANNER DESK/1920x276/byd_sealion-26-27_1920x276.png,sealion-26-27,1920x276,1920,276,417797,d91d6058eca6f919e81eb3cbd658c8ab731f96140d925dd1cb167ec11a6d171e,True,ASTRA_AGENT_VISUAL_REVIEW_PASS,LOCAL_OUTPUT_NOT_EXTERNALLY_SENT,WORK/01_TEMPLATES/2026-09-20-r17/BYD_TPL_1920x276.psd
OUTPUT/2026-09-20-r18/BANNER DESK/1920x276/byd_song-plus_1920x276.png,song-plus,1920x276,1920,276,416578,5de8b19b70628cba066d157b527ecef38aac0f87c87d9ef4d9418c1a2386ea27,True,ASTRA_AGENT_VISUAL_REVIEW_PASS,LOCAL_OUTPUT_NOT_EXTERNALLY_SENT,WORK/01_TEMPLATES/2026-09-20-r17/BYD_TPL_1920x276.psd
OUTPUT/2026-09-20-r18/BANNER DESK/1920x276/byd_song-premium_1920x276.png,song-premium,1920x276,1920,276,423015,6f6bb5ee15ee71a176341f7a79131ac1ea74368cad9832ce5ed9717a3955ead7,True,ASTRA_AGENT_VISUAL_REVIEW_PASS,LOCAL_OUTPUT_NOT_EXTERNALLY_SENT,WORK/01_TEMPLATES/2026-09-20-r17/BYD_TPL_1920x276.psd
OUTPUT/2026-09-20-r18/BANNER DESK/1920x276/byd_song-pro-flex_1920x276.png,song-pro-flex,1920x276,1920,276,410847,f5ac07a6b1d29e4d4e0b164d016c7e2b486624a685ceeb549892c169413cf853,True,ASTRA_AGENT_VISUAL_REVIEW_PASS,LOCAL_OUTPUT_NOT_EXTERNALLY_SENT,WORK/01_TEMPLATES/2026-09-20-r17/BYD_TPL_1920x276.psd
OUTPUT/2026-09-20-r18/BANNER DESK/1920x276/byd_song-pro_1920x276.png,song-pro,1920x276,1920,276,420593,bd05399f7a3ec48eac7a05033f613a8c663508e2a063c920170f6439ade3b936,True,ASTRA_AGENT_VISUAL_REVIEW_PASS,LOCAL_OUTPUT_NOT_EXTERNALLY_SENT,WORK/01_TEMPLATES/2026-09-20-r17/BYD_TPL_1920x276.psd
