offer_id,title_source_text,title_layer_id,price_layer_id,legal_layer_id,car_layer_id,anchor_id,build_status,embedded_tags,note
atto-2,ATTO 2 GS 26/27,1061,1065,1068,1059,1073,READY,NEW,"Final spec mapping; source text, not new commercial approval"
atto-8,ATTO 8 26/27,504,508,511,518,516,READY,,"Final spec mapping; source text, not new commercial approval"
dolphin-gs,Dolphin GS 26/27,131,130,136,143,141,READY,,"Final spec mapping; source text, not new commercial approval"
dolphin-mini-5l-gs,Dolphin Mini 5L GS 26/27,56,59,63,21,9,READY,,"Final spec mapping; source text, not new commercial approval"
dolphin-se,"Dolphin SE 26/27",178,182,185,176,175,READY,,"Final spec mapping; source text, not new commercial approval"
king-gs,King GS 26/27,313,317,320,326,324,READY,,"Final spec mapping; source text, not new commercial approval"
seal-26-27,Seal 26/27,242,246,249,255,253,READY,,"Final spec mapping; source text, not new commercial approval"
sealion-26-27,Sealion 26/27,526,530,533,539,537,READY,NEW,"Final spec mapping; source text, not new commercial approval"
song-plus,Song Plus 1.5 T 26/27,431,435,438,452,450,READY,,"Final spec mapping; source text, not new commercial approval"
song-premium,Song Plus Premium 25/26,460,464,467,474,472,READY,,"Final spec mapping; source text, not new commercial approval"
song-pro-flex,Song Pro GS Flex 26/27 ,375,379,382,389,3207,READY,NEW,"Final spec mapping; source text, not new commercial approval"
song-pro,Song Pro GS 26/27,340,344,347,353,351,READY,Group 7,"Final spec mapping; source text, not new commercial approval"
vd-atto-2,ATTO 2 Gl 26/27,2956,2960,2963,2954,2952,READY,,"Final spec mapping; source text, not new commercial approval"
vd-dolphin-mini,Dolphin Mini GL 26/27,564,568,571,593,591,READY,,"Final spec mapping; source text, not new commercial approval"
vd-king-gl,King GL 25/26,627,631,634,640,638,READY,,"Final spec mapping; source text, not new commercial approval"
vd-shark,Shark 25/26,2974,3658,2981,2972,2971,READY,,"Final spec mapping; source text, not new commercial approval"
vd-song-pro-flex,Song Pro Flex GL 26/27 ,601,605,608,616,4129,READY,,"Final spec mapping; source text, not new commercial approval"
vd-song-pro,Song Pro GL 25/26,4117,4121,4124,4115,4114,READY,,"Final spec mapping; source text, not new commercial approval"
yuan-plus-awd-26-27,Yuan Plus AWD 26/27,220,224,227,233,231,READY,,"Final spec mapping; source text, not new commercial approval"
yuan-pro,Yuan Pro 26/27,153,158,161,191,189,READY,,"Final spec mapping; source text, not new commercial approval"
