file,classification,sha256,refuse_overwrite_marker,mkroot_marker,open_documents_preflight,note
analyze_geometry_production.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,12aa6dbc7691f197205cdcec8e6377242ef7121dc0e3197fa918e3b5aab7134c,True,True,False,String markers only; not a safety proof
analyze_geometry_production_r03.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,a26e41b1c73cc9d49b3860cac8e38a90bb5018b30810746920997ad032f40d84,True,True,False,String markers only; not a safety proof
analyze_geometry_production_r10.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,d6f8e8c348e265e5a5160c1eab2478f613424195be750b86642eee7bb417e77c,True,True,False,String markers only; not a safety proof
assemble_r09.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,c09ffe83aa71b109e6cf2883db684dafdd8c82606b650e008975b2576cbcfc46,True,True,False,String markers only; not a safety proof
assemble_r11.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,ed1e595a87b0c7cafd438ff1a179d4f6f55cc94fd99af38a0f1751393158d16e,True,True,False,String markers only; not a safety proof
assemble_r11_v2.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,0e7a0874f12d5b78b9888479afa7b41fafbe7c5582d4b4417bf1502335c46118,True,True,False,String markers only; not a safety proof
assemble_r11_v3.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,1ab1ff01a060b59e24246c2721a5cadc5a05beeadd9f32a0fdaacdd7a3b0fdfb,True,True,False,String markers only; not a safety proof
assemble_r11_v4.py,HISTORICAL_DO_NOT_RUN_DIRECTLY,650c9cdea874d58bd6275983892ee25af75488b4425dee4252a0bcb753a373d8,True,True,False,String markers only; not a safety proof
audit_process_metrics_r18.py,AUDIT_REQUIRES_EXTERNAL_SESSION_METADATA,6b322e1b4a3bc99412261e51a9ba8e95aaf2cb83f9d72e97811c7e645b23b4d2,True,True,False,String markers only; not a safety proof
build_p01.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,d87502801485136903059d72499d9c88f2045e5291209a9d0004bf7048534ea1,True,True,True,String markers only; not a safety proof
build_p02.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,61d18d685a3a0803c217a8f1786843b840b7818a4d409e1baf103c6c1d2a04f8,True,True,True,String markers only; not a safety proof
build_p03.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,a7356ac4636c6a5e73966486532f29ce0fd6ecaf59e07a0202ed1be9fcae1653,True,True,True,String markers only; not a safety proof
build_p04.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,02602ef8df7ecdb6021c0f8711aa0b992b11307d76ed833e81c1fe431ee83e63,True,True,True,String markers only; not a safety proof
build_p05.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,08eff0d8b233977223601cb377fc93988fb748fad2455ae6559971a4f4cc2bba,True,True,True,String markers only; not a safety proof
build_p06.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,9719894f1a16941af3d75aafe9cb21a3d7c2bdc340e4a2db4884e1505afaf250,True,True,True,String markers only; not a safety proof
build_p07.jsx,HISTORICAL_DO_NOT_RUN_DIRECTLY,a5e78de25623f017fa534710591c038eb77d40ead9f656d371bb5e6fd1fc96fd,True,True,True,String markers only; not a safety proof
