format,run,elapsed_ms
360x80,probe_r02,45603
360x80,probe_r03,45635
360x80,probe_r05,23650
360x80,r10,215817
360x80,r20,84920
1920x276,r03,4436135
1920x276,r14,67709
1920x276,r17_partial_strip,420472
1920x1080,r10,287240
1920x1080,r16,102234
1920x1080,r20,124090
1920x1125,r10,284741
1920x1125,r16,102025
1920x1125,r20,137412
1080x1080,r10,258269
1080x1080,r20,108318
1080x1920,r10,275488
1080x1920,r16,100838
1080x1920,r20,134820
1109x1973,r10,272664
1109x1973,r16,102655
1109x1973,r20,137477
